2.0,8.0 ||  -61, -59, -63, -67, -65 ||  -52, -53, -54, -58, -56 ||  -61, -59, -64, -67, -65 ||  -63, -62, -66, -69, -68 ||  -54, -55, -56, -60, -58 ||  -61, -59, -63, -67, -65
2.0,9.0 ||  -62, -64, -64, -64, -65 ||  -51, -54, -52, -52, -54 ||  -62, -64, -64, -64, -65 ||  -64, -66, -66, -66, -67 ||  -53, -57, -55, -55, -56 ||  -61, -63, -63, -63, -64
2.0,10.0 ||  -63, -70, -65, -61, -65 ||  -50, -56, -51, -47, -52 ||  -64, -70, -65, -61, -66 ||  -65, -71, -67, -63, -67 ||  -53, -59, -54, -50, -55 ||  -61, -67, -63, -59, -63
3.0,0.0 ||  -57, -55, -54, -51, -56 ||  -69, -66, -65, -63, -67 ||  -54, -52, -50, -48, -52 ||  -66, -63, -61, -60, -64 ||  -69, -67, -65, -62, -67 ||  -71, -68, -66, -64, -68
3.0,1.0 ||  -57, -57, -56, -53, -56 ||  -67, -67, -65, -62, -65 ||  -54, -54, -53, -51, -53 ||  -64, -63, -63, -60, -63 ||  -67, -67, -65, -62, -65 ||  -68, -68, -67, -64, -67
3.0,2.0 ||  -57, -59, -58, -55, -56 ||  -64, -67, -65, -62, -63 ||  -55, -57, -57, -53, -54 ||  -63, -63, -64, -61, -62 ||  -64, -67, -65, -62, -63 ||  -66, -69, -67, -64, -65
3.0,3.0 ||  -56, -60, -58, -58, -60 ||  -60, -65, -62, -63, -65 ||  -54, -58, -57, -56, -58 ||  -60, -64, -63, -63, -65 ||  -60, -65, -62, -62, -64 ||  -63, -67, -65, -65, -67
3.0,4.0 ||  -55, -61, -58, -61, -64 ||  -57, -63, -60, -63, -66 ||  -54, -59, -57, -60, -63 ||  -58, -64, -62, -65, -68 ||  -56, -63, -59, -63, -66 ||  -60, -66, -63, -66, -69
3.0,5.0 ||  -58, -60, -60, -63, -63 ||  -58, -60, -59, -64, -63 ||  -57, -59, -59, -62, -62 ||  -61, -63, -63, -66, -66 ||  -57, -59, -59, -63, -63 ||  -61, -63, -63, -66, -66
3.0,6.0 ||  -62, -59, -61, -66, -63 ||  -59, -57, -59, -66, -60 ||  -61, -58, -61, -64, -62 ||  -64, -61, -64, -68, -65 ||  -59, -55, -58, -62, -59 ||  -63, -60, -63, -67, -64
3.0,7.0 ||  -62, -60, -63, -64, -62 ||  -57, -56, -58, -60, -57 ||  -61, -60, -63, -63, -62 ||  -64, -61, -65, -66, -65 ||  -56, -54, -57, -58, -56 ||  -61, -60, -63, -64, -62
3.0,8.0 ||  -62, -62, -65, -63, -62 ||  -54, -56, -57, -55, -55 ||  -61, -61, -65, -62, -62 ||  -63, -62, -67, -64, -64 ||  -54, -54, -55, -54, -53 ||  -60, -60, -63, -61, -61
3.0,9.0 ||  -64, -64, -64, -61, -64 ||  -55, -55, -55, -52, -55 ||  -64, -63, -64, -61, -64 ||  -66, -64, -66, -63, -65 ||  -53, -52, -52, -49, -51 ||  -62, -61, -62, -59, -61
3.0,10.0 ||  -67, -66, -63, -60, -65 ||  -56, -55, -53, -49, -55 ||  -67, -66, -64, -60, -66 ||  -69, -67, -65, -62, -67 ||  -52, -51, -48, -45, -50 ||  -64, -62, -60, -57, -62
4.0,0.0 ||  -60, -60, -58, -53, -55 ||  -70, -68, -66, -62, -64 ||  -50, -49, -47, -43, -44 ||  -65, -64, -61, -57, -59 ||  -70, -69, -66, -61, -63 ||  -71, -70, -67, -62, -64
4.0,1.0 ||  -60, -60, -60, -55, -57 ||  -68, -67, -67, -63, -64 ||  -52, -51, -52, -48, -48 ||  -64, -63, -63, -59, -60 ||  -67, -67, -67, -62, -63 ||  -69, -68, -68, -63, -65
4.0,2.0 ||  -60, -60, -63, -58, -59 ||  -66, -66, -69, -64, -65 ||  -54, -54, -58, -53, -53 ||  -63, -63, -66, -61, -62 ||  -65, -65, -68, -63, -64 ||  -67, -67, -70, -65, -66
4.0,3.0 ||  -58, -60, -61, -61, -63 ||  -62, -64, -64, -65, -67 ||  -54, -55, -56, -57, -58 ||  -60, -62, -63, -63, -65 ||  -61, -63, -63, -64, -66 ||  -63, -65, -65, -66, -68
4.0,4.0 ||  -57, -61, -59, -65, -67 ||  -58, -62, -60, -66, -69 ||  -54, -57, -55, -61, -64 ||  -58, -62, -60, -66, -69 ||  -57, -61, -58, -65, -68 ||  -60, -64, -61, -67, -70
